Mat,Array,Bank,Chip,Rank,Valid_bits,Taken
0,0,0,0,0,0,False
1,0,0,0,0,0,False
2,0,0,0,0,0,False
3,0,0,0,0,0,False
4,0,0,0,0,0,False
5,0,0,0,0,0,False
6,0,0,0,0,0,False
7,0,0,0,0,0,False
8,0,0,0,0,0,False
9,0,0,0,0,0,False
10,0,0,0,0,0,False
11,0,0,0,0,0,False
12,0,0,0,0,0,False
13,0,0,0,0,0,False
14,0,0,0,0,0,False
15,0,0,0,0,0,False
0,1,0,0,0,0,False
1,1,0,0,0,0,False
2,1,0,0,0,0,False
3,1,0,0,0,0,False
4,1,0,0,0,0,False
5,1,0,0,0,0,False
6,1,0,0,0,0,False
7,1,0,0,0,0,False
8,1,0,0,0,0,False
9,1,0,0,0,0,False
10,1,0,0,0,0,False
11,1,0,0,0,0,False
12,1,0,0,0,0,False
13,1,0,0,0,0,False
14,1,0,0,0,0,False
15,1,0,0,0,0,False
0,2,0,0,0,0,False
1,2,0,0,0,0,False
2,2,0,0,0,0,False
3,2,0,0,0,0,False
4,2,0,0,0,0,False
5,2,0,0,0,0,False
6,2,0,0,0,0,False
7,2,0,0,0,0,False
8,2,0,0,0,0,False
9,2,0,0,0,0,False
10,2,0,0,0,0,False
11,2,0,0,0,0,False
12,2,0,0,0,0,False
13,2,0,0,0,0,False
14,2,0,0,0,0,False
15,2,0,0,0,0,False
0,3,0,0,0,0,False
1,3,0,0,0,0,False
2,3,0,0,0,0,False
3,3,0,0,0,0,False
4,3,0,0,0,0,False
5,3,0,0,0,0,False
6,3,0,0,0,0,False
7,3,0,0,0,0,False
8,3,0,0,0,0,False
9,3,0,0,0,0,False
10,3,0,0,0,0,False
11,3,0,0,0,0,False
12,3,0,0,0,0,False
13,3,0,0,0,0,False
14,3,0,0,0,0,False
15,3,0,0,0,0,False
0,4,0,0,0,0,False
1,4,0,0,0,0,False
2,4,0,0,0,0,False
3,4,0,0,0,0,False
4,4,0,0,0,0,False
5,4,0,0,0,0,False
6,4,0,0,0,0,False
7,4,0,0,0,0,False
8,4,0,0,0,0,False
9,4,0,0,0,0,False
10,4,0,0,0,0,False
11,4,0,0,0,0,False
12,4,0,0,0,0,False
13,4,0,0,0,0,False
14,4,0,0,0,0,False
15,4,0,0,0,0,False
0,5,0,0,0,0,False
1,5,0,0,0,0,False
2,5,0,0,0,0,False
3,5,0,0,0,0,False
4,5,0,0,0,0,False
5,5,0,0,0,0,False
6,5,0,0,0,0,False
7,5,0,0,0,0,False
8,5,0,0,0,0,False
9,5,0,0,0,0,False
10,5,0,0,0,0,False
11,5,0,0,0,0,False
12,5,0,0,0,0,False
13,5,0,0,0,0,False
14,5,0,0,0,0,False
15,5,0,0,0,0,False
0,6,0,0,0,0,False
1,6,0,0,0,0,False
2,6,0,0,0,0,False
3,6,0,0,0,0,False
4,6,0,0,0,0,False
5,6,0,0,0,0,False
6,6,0,0,0,0,False
7,6,0,0,0,0,False
8,6,0,0,0,0,False
9,6,0,0,0,0,False
10,6,0,0,0,0,False
11,6,0,0,0,0,False
12,6,0,0,0,0,False
13,6,0,0,0,0,False
14,6,0,0,0,0,False
15,6,0,0,0,0,False
0,7,0,0,0,0,False
